,municipio,area_desmatada_km2
0,Aimorés,1.2001322541722055
1,Alfenas,0.16502817414229898
2,Almenara,0.09079250010676125
3,Alvinópolis,0.10304074322493488
4,Amparo do Serra,0.06446478872390125
5,Antônio Dias,0.11049712983045958
6,Araçuaí,0.6067226408786857
7,Ataléia,2.4654918209273586
8,Baependi,0.03500601433142413
9,Barra Longa,0.07093879206393769
10,Berizal,0.3408412315683272
11,Bertópolis,0.07071926149569202
12,Boa Esperança,0.07390690399632036
13,Bom Jesus do Galho,0.027563866006292913
14,Braúnas,0.20559302923313633
15,Cachoeira de Pajeú,0.35046242316664333
16,Cajuri,0.055674460359444025
17,Cambuquira,2.444053337047184
18,Campanha,1.5973437726916182
19,Campo do Meio,0.02808288724494369
20,Campos Gerais,0.21646850750400426
21,Cana Verde,0.01917554652154111
22,Caratinga,0.0577832501320505
23,Caraí,0.15054428206363324
24,Carlos Chagas,0.13655082155822604
25,Carmo de Minas,0.04100869601514694
26,Carneirinho,0.1923961101914795
27,Coluna,0.10099042857269304
28,Comercinho,0.42811641809327156
29,Conceição do Rio Verde,1.2797281752414493
30,Conquista,1.8613380429112567
31,Cordislândia,0.9114845975843762
32,Coronel Fabriciano,0.24277655672804652
33,Coronel Murta,0.3801590395819556
34,Cristina,0.09298671508661988
35,Curral de Dentro,0.5160656824416645
36,Cássia,0.07797507512137788
37,Delfim Moreira,0.14953241954763358
38,Delta,0.40696204779547324
39,Dionísio,0.5685265421197785
40,Divisa Alegre,0.3111835214077489
41,Divisópolis,0.04041795860576073
42,Dores de Guanhães,0.02867863129768124
43,Elói Mendes,0.03454870632086032
44,Ervália,0.024366771595842364
45,Eugenópolis,0.027786993081093652
46,Ferros,0.08828411736899996
47,Franciscópolis,0.5589554931607459
48,Fronteira dos Vales,0.0787312185315982
49,Frutal,1.001376398957781
50,Gonçalves,0.01658192666108244
51,Guanhães,1.66265075270618
52,Guapé,0.24748989026257603
53,Heliodora,0.03530826608821067
54,Iapu,0.08578355846030562
55,Ibiraci,0.13861143042691673
56,Ilicínea,0.06542758316269373
57,Indaiabira,0.39858740615991806
58,Itamarandiba,0.0505958760458307
59,Itambacuri,0.21353283173215223
60,Itaobim,0.3423573458195162
61,Itinga,1.4754961009369008
62,Itueta,0.11254494297687029
