,Ano,Código da Grande Região,Nome da Grande Região,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Nome do Município,Região Metropolitana,Código da Mesorregião,Nome da Mesorregião,Código da Microrregião,Nome da Microrregião,Código da Região Geográfica Imediata,Nome da Região Geográfica Imediata,Município da Região Geográfica Imediata,Código da Região Geográfica Intermediária,Nome da Região Geográfica Intermediária,Município da Região Geográfica Intermediária,Código Concentração Urbana,Nome Concentração Urbana,Tipo Concentração Urbana,Código Arranjo Populacional,Nome Arranjo Populacional,Hierarquia Urbana,Hierarquia Urbana (principais categorias),Código da Região Rural,Nome da Região Rural,Região rural (segundo classificação do núcleo),Amazônia Legal,Semiárido,Cidade-Região de São Paulo,"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1.000)","Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social, 
a preços correntes
(R$ 1.000)","Valor adicionado bruto total, 
a preços correntes
(R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)",Atividade com maior valor adicionado bruto,Atividade com segundo maior valor adicionado bruto,Atividade com terceiro maior valor adicionado bruto
63499,2021,3,Sudeste,31,MG,Minas Gerais,3100104,Abadia dos Dourados,,3105,Triângulo Mineiro/Alto Paranaíba,31019,Patrocínio,310061,Monte Carmelo,do Entorno,3111,Uberlândia,do Entorno,,,,,,Centro Local,Centro Local,3106,Região Rural da Capital Regional de Uberlândia,Região Rural de Capital Regional,Não,Não,Não,75110.576,10618.285,43394.459,38588.616,167711.936,9061.722,176773.658,25174.26,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços
63500,2021,3,Sudeste,31,MG,Minas Gerais,3100203,Abaeté,,3106,Central Mineira,31024,Três Marias,310070,Abaeté,Polo,3113,Divinópolis,do Entorno,,,,,,Centro de Zona A,Centro de Zona,3107,Região Rural do Centro Sub-regional de Patos de Minas,Região Rural de Centro Sub-regional,Não,Não,Não,127033.876,40612.969,220438.549,108971.88,497057.273,44181.933,541239.206,23266.1,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária"
63501,2021,3,Sudeste,31,MG,Minas Gerais,3100302,Abre Campo,,3112,Zona da Mata,31061,Manhuaçu,310028,Manhuaçu,do Entorno,3106,Juíz de Fora,do Entorno,,,,,,Centro Local,Centro Local,3103,Região Rural das Capitais Regionais de Ipatinga e Governador Valadares,Região Rural de Capital Regional,Não,Não,Não,66751.611,14020.634,100230.035,61425.579,242427.859,20258.68,262686.538,19553.86,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
63502,2021,3,Sudeste,31,MG,Minas Gerais,3100401,Acaiaca,,3112,Zona da Mata,31060,Ponte Nova,310030,Ponte Nova,do Entorno,3106,Juíz de Fora,do Entorno,,,,,,Centro Local,Centro Local,3103,Região Rural das Capitais Regionais de Ipatinga e Governador Valadares,Região Rural de Capital Regional,Não,Não,Não,3563.593,12308.966,22209.014,23347.179,61428.753,3478.266,64907.018,16247.06,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,Indústrias extrativas
63503,2021,3,Sudeste,31,MG,Minas Gerais,3100500,Açucena,Colar Metropolitano,3108,Vale do Rio Doce,31039,Ipatinga,310024,Ipatinga,do Entorno,3105,Ipatinga,do Entorno,,,,,,Centro Local,Centro Local,3103,Região Rural das Capitais Regionais de Ipatinga e Governador Valadares,Região Rural de Capital Regional,Não,Sim,Não,21964.548,75038.234,24519.318,41345.006,162867.106,2956.52,165823.625,17888.2,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços
63504,2021,3,Sudeste,31,MG,Minas Gerais,3100609,Água Boa,,3108,Vale do Rio Doce,31036,Peçanha,310014,Capelinha,do Entorno,3103,Teófilo Otoni,do Entorno,,,,,,Centro Local,Centro Local,3102,Região Rural da Capital Regional de Teófilo Otoni,Região Rural de Capital Regional,Não,Sim,Não,56490.598,7671.438,54785.517,63877.182,182824.735,9249.434,192074.169,14421.07,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária"
63505,2021,3,Sudeste,31,MG,Minas Gerais,3100708,Água Comprida,,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,310055,Uberaba,do Entorno,3110,Uberaba,do Entorno,,,,,,Centro Local,Centro Local,3106,Região Rural da Capital Regional de Uberlândia,Região Rural de Capital Regional,Não,Não,Não,154963.363,9889.233,39714.699,20055.691,224622.986,5207.877,229830.864,115725.51,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social"
63506,2021,3,Sudeste,31,MG,Minas Gerais,3100807,Aguanil,,3109,Oeste de Minas,31045,Campo Belo,310048,Campo Belo,do Entorno,3108,Varginha,do Entorno,,,,,,Centro Local,Centro Local,3105,Região Rural das Capitais Regionais de Pouso Alegre e Varginha,Região Rural de Capital Regional,Não,Não,Não,33972.85,3194.29,26822.044,27142.744,91131.929,3482.956,94614.885,20762.54,"Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços
63507,2021,3,Sudeste,31,MG,Minas Gerais,3100906,Águas Formosas,,3104,Vale do Mucuri,31016,Nanuque,310019,Águas Formosas,Polo,3103,Teófilo Otoni,do Entorno,,,,,,Centro de Zona B,Centro de Zona,3102,Região Rural da Capital Regional de Teófilo Otoni,Região Rural de Capital Regional,Não,Sim,Não,21207.082,24030.488,128820.7,91594.015,265652.285,21947.18,287599.466,14913.12,Demais serviços,"Administração, defesa, educação e saúde públicas e seguridade social",Comércio e reparação de veículos automotores e motocicletas
63508,2021,3,Sudeste,31,MG,Minas Gerais,3101003,Águas Vermelhas,,3102,Norte de Minas,31005,Salinas,310018,Pedra Azul,do Entorno,3103,Teófilo Otoni,do Entorno,,,,,,Centro Local,Centro Local,3101,Região Rural da Capital Regional de Montes Claros,Região Rural de Capital Regional,Não,Sim,Não,52991.442,8907.277,88262.278,65958.153,216119.149,20529.44,236648.589,17329.28,"Administração, defesa, educação e saúde públicas e seguridade social",Demais serviços,Comércio e reparação de veículos automotores e motocicletas
